product_id,product_name
149073123-3,Wicked Weed Pernicious IPA-24-12oz Cans
4310502215,152 Budweiser Bottle
4310502145,152 Budweiser Bottle
4310502201,152 Budweiser Bottle
4310502195,152 Budweiser Bottle
4652461880,152 Budweiser Chelada Bottle
4310502226,152 Budweiser Chelada Bottle
343454161-2,Alvarium Hurricane-4pk-16oz Cans
2126263396-1,Beats Senses Mixed Berry-7.5oz Can
25294299,"Beck's Beer 4 Pack, 16 fl oz 1 Cans, 5% ABV"
167816297,"Beck's Beer “Made in the USA with heavy gauge steel"""
189010510,Beck's German Beer Bottles - 6-12 Fl. Oz.
21881880,"Beck's German Beer, 6 Pack Beer, 12 fl oz Glass Bottles, 4.8% ABV"
704654861,Beck's Imports Pilsner Bottles
P8248812700,"Beck's Non Alcoholic Beer, 12 oz, 6 pk"
d3236ba3-da79-567f-bd4d-df43786de36d,"Beck's Non-Alcoholic Beer (6ct, 12 oz)"
970119566,Beck's Pilsner Beer Bottle - 12 Fl. Oz.
189010772,Beck's Pilsner Beer Bottles - 12-12 Fl. Oz.
23623576,"Beck's Pilsner Beer, 12 pack 12 fl. oz. Glass Bottles, 5.0% ABV, 4.8% ABV"
d7286a7e-7e3f-58e4-8576-a87be62716cb,Beck's Pure Malt Beer (12 x 12 fl oz)
8103ea24-7b1e-5bec-bcd4-5ed81aae3f28,Beck's Pure Malt Beer (12 x 12 fl oz)
80127-2,Beck's-12pk-12oz Btls
80161-2,Beck's-4pk-16oz Cans
80126-2,Beck's-6pk-12oz Btls
233443608-2,Bitburger/Sierra Nevada Triple Hop'd Lager-6pk-11oz Cans
960507106,Bud Ice Beer Bottle - 18 Fl. Oz.
19500035,"Bud Ice Beer, 6 Pack, 16 fl. oz. Can, 5.5% ABV"
15716418,"Bud Ice Cerveza Pack de 12 12 fl. Onz. Botellas, 5.5% Vol."
6795d9f5-1fce-5447-b452-c4f932ce4e1c,Bud Ice Lager Beer (6 x 16 fl oz)
4310502196,Bud Ice Light Lager Cans
d70ccad5-ba18-55f6-b2a4-eb22745dc328,Bud Ice Premium American Lager Beer (25 fl oz)
1898251,"Bud Ice Premium Lager Beer, 3 pack 25 oz"
1059653,"Bud Ice Premium Lager Beer, 30 pack 12 oz"
741032,"Bud Ice Premium Lager Beer, 6 pack 16 oz"
4310502223,Bud Ice Premium Lager Bottle
4310502212,Bud Ice Sub Premium American Lager Can
30953732787,Bud Ice Sub Premium American Lager Can
34640173,Bud Ice® Lager Single Can 25 fl oz
970492801,Bud Light 3.2% ABV Beer Keg - 15.5 Gallon
960507124,Bud Light 4.2% ABV Beer In Cans - 24-10 Fl. Oz.
960088233,Bud Light 4.2% ABV Lime In Can - 25 Fl. Oz.
4330097097,Bud Light 6 Pack Bottle (12 oz)
960282207,Bud Light 6% ABV Platinum Beer In Aluminum Bottles - 8-16 Fl. Oz.
0001820000833,Bud Light American Lager Beer
34a46073-0c25-5ac6-b0e2-e021393ec580,Bud Light American Lager Beer (8 x 16 fl oz)
45114,Bud Light American Lager Beer 12 fl oz
31088-2,Bud Light American Lager Beer 7.5oz-12-7.5oz cans
31084-3,Bud Light American Lager Beer 7.5oz-24-7.5cans
189010657,Bud Light American Lager Beer Bottles - 18 - 12 Fl. Oz.
960063657,Bud Light American Lager Beer in Aluminum Bottles - 15 - 16 Fl. Oz.
970119539,Bud Light American Lager Beer in Bottle - 12 Fl. Oz.
189013284,Bud Light American Lager Beer in Bottle - 20 - 12 Fl. Oz.
189012867,Bud Light American Lager Beer in Bottles - 12 - 12 Fl. Oz.
960143210,Bud Light American Lager Beer in Bottles - 12 - 16 Fl. Oz.
960143608,Bud Light American Lager Beer in Bottles - 20 - 16 Fl. Oz.
189010147,Bud Light American Lager Beer in Bottles - 24 - 12 Fl. Oz.
189010385,Bud Light American Lager Beer in Bottles - 6 - 12 Fl. Oz.
960088366,Bud Light American Lager Beer in Can - 25 Fl. Oz.
189010281,Bud Light American Lager Beer in Cans - 12 - 12 Fl. Oz.
960464919,Bud Light American Lager Beer in Cans - 12 - 16 Fl. Oz.
960144551,Bud Light American Lager Beer in Cans - 15 - 16 Fl. Oz.
189010175,Bud Light American Lager Beer in Cans - 18 - 12 Fl. Oz.
960173968,Bud Light American Lager Beer in Cans - 24 - 16 Fl. Oz.
960088277,Bud Light American Lager Beer in Cans - 3 - 25 Fl. Oz.
189011044,Bud Light American Lager Beer in Cans - 30 - 12 Fl. Oz.
189010595,Bud Light American Lager Beer in Cans - 6 - 16 Fl. Oz.
960044393,Bud Light American Lager Beer in Cans - 8 - 16 Fl. Oz.
189011596,Bud Light American Lager Beer in Cans 24 - 12 Fl. Oz.
31901-3,Bud Light American Lager Beer-1/2 Keg
31195-2,Bud Light American Lager Beer-12-16ozAlmBtl
31151-3,Bud Light American Lager Beer-15-16oz AlmBtls
31158-3,Bud Light American Lager Beer-18-16oz Cans
31198-3,Bud Light American Lager Beer-20-16ozAlmBtl
31110-3,Bud Light American Lager Beer-24-10oz Can
31264-3,Bud Light American Lager Beer-24-16oz AlmBtls
311171-3,Bud Light American Lager Beer-24-16oz Cans
31224-1,Bud Light American Lager Beer-25oz Can
31164-2,Bud Light American Lager Beer-6pk-16oz Cans
31076-2,Bud Light American Lager Beer-6pk-7oz Btls
31861-2,Bud Light American Lager Beer-8pk-16oz AlmBtls
0001820096538,Bud Light American Light Lager Beer
0001820053218,Bud Light American Light Lager Beer
0001820028140,Bud Light American Light Lager Beer
0001820000795,Bud Light American Light Lager Beer
0001820053308,Bud Light American Light Lager Beer
0001820000769,Bud Light American Light Lager Beer
0001820025001,Bud Light American Light Lager Beer
0001820053349,Bud Light American Light Lager Beer
0001820053047,Bud Light American Light Lager Beer
0001820008989,Bud Light American Light Lager Beer
0001820053168,Bud Light American Light Lager Beer
361,Bud Light American Light Lager Beer 12 fl oz
100312,Bud Light American Light Lager Beer 12 fl oz
45063,Bud Light American Light Lager Beer 12 fl oz
95167,Bud Light American Light Lager Beer 12 fl oz
210490,Bud Light American Light Lager Beer 16 fl oz
189010721,Bud Light Beer 4.2% ABV In Bottle - 40 Fl. Oz.
960507105,Bud Light Beer Bottle - 18 Fl. Oz.
189010336,Bud Light Beer Bottles - 6-7 Fl. Oz.
960090199,Bud Light Beer Bottles - 8-16 Fl. Oz.
189010165,Bud Light Beer Bottles Wide Mouth - 4-16 Fl. Oz.
16547972,Bud Light Beer Cans
960173936,Bud Light Beer In Bottle - 32 Fl. Oz.
960063905,Bud Light Beer In Cans - 12-8 Fl. Oz.
960056884,Bud Light Beer In Cans - 20-12 Fl. Oz.
960126186,Bud Light Extra Lime Chelada - 25 Fl. Oz.
970027003,Bud Light Fuego Beer - 25 Fl. Oz.
237545198-3,Bud Light LSU Alum Bottle-20-16ozAlmBtl
0001820053030,Bud Light Lager Beer 30 cans / 12 fl oz
4330097082,Bud Light Lager Can (12 oz x 12 ct)
4330097100,Bud Light Lager Can (25 oz x 3 ct)
4330077058,Bud Light Lager Cans (12 oz x 18 ct)
960545499,Bud Light Lemonade Cans - 12-12 Fl. Oz.
595662583,Bud Light Lemonade Lemonade Domestic Beer 12 Pack 12 fl oz Aluminum Cans 4.2% ABV
233512740-1,Bud Light Lemonade-25oz Can
970461309,Bud Light Lime American Lager Beer in Bottle - 12 Fl. Oz.
960013721,Bud Light Lime American Lager Beer in Bottles - 12 - 12 Fl. Oz.
960013370,Bud Light Lime American Lager Beer in Bottles - 30 - 12 Fl. Oz.
960024012,Bud Light Lime American Lager Beer in Cans - 12 - 12 Fl. Oz.
960037489,Bud Light Lime American Lager Beer in Cans - 18 - 12 Fl. Oz.
960282206,Bud Light Lime Beer 4.2% ABV In Aluminum Bottles - 8-16 Fl. Oz.
960037845,Bud Light Lime Beer In Bottles - 18-12 Fl. Oz.
960224037,Bud Light Lime Beer In Cans - 24-12 Fl. Oz.
0001820025533,Bud Light Lime Mang-O-Rita Sparkling Margarita 25 fl oz
970567177,Bud Light Lime Straw-ber-rita In Cans - 4-16 FZ
960497991,Bud Light Mango Beer - 25 Fl. Oz.
970126268,Bud Light NEXT Beer Light Beer Bottles - 6-12 Fl. Oz.
26322039,Bud Light NEXT Lager American Beer 12 fl oz
970057103,Bud Light NEXT Zero Carbs American Lager Beer in Cans - 12 - 12 Fl. Oz.
960434128,Bud Light Next Light Beer In Cans - 6-12 Fl. Oz.
960324244,Bud Light Orange Beer Bottles - 12-12 Fl. Oz.
960324243,Bud Light Orange Beer Bottles - 6-12 Fl. Oz.
960305962,Bud Light Platinum 6% ABV Beer In Slim Cans - 18-12 Fl. Oz.
45062,Bud Light Platinum American Lager Beer 12 fl oz
960062684,Bud Light Platinum American Lager Beer in Bottles - 12 - 12 Fl. Oz.
960062722,Bud Light Platinum American Lager Beer in Bottles - 6 - 12 Fl. Oz.
960083839,Bud Light Platinum American Lager Beer in Cans - 12 - 12 Fl. Oz.
45112,Bud Light Platinum Beer 6 Pack
960145473,Bud Light Platinum Beer Can - 25 Fl. Oz.
960075837,Bud Light Platinum Bottles - 18-12 Fl. Oz.
b99b7368-0f62-5f18-9461-29e134cc4c82,"Bud Light Premium Lager Beer, Lime (6 x 12 fl oz)"
df9e80c4-8915-574f-a542-8d0544ba9063,Budweiser 25oz Can
960144849,Budweiser 5% ABV Beer In Cans - 12-8 Fl. Oz.
960196876,Budweiser 5% ABV Beer In Cans - 15-16 Fl. Oz.
0001820011168,Budweiser American Lager Beer
0001820011047,Budweiser American Lager Beer
0001820000018,Budweiser American Lager Beer
0001820020128,Budweiser American Lager Beer
0001820097008,Budweiser American Lager Beer
0001820011218,Budweiser American Lager Beer
0001820008981,Budweiser American Lager Beer
0001820000834,Budweiser American Lager Beer
0001820000771,Budweiser American Lager Beer
0001820000473,Budweiser American Lager Beer
0001820025000,Budweiser American Lager Beer
0001820011308,Budweiser American Lager Beer
9587aa8c-8d8b-5bbe-97ef-e27760d2d526,Budweiser American Lager Beer (12 x 12 fl oz)
cb37a2b3-1074-5394-abe9-1b7caf5abb30,Budweiser American Lager Beer (3 x 25 fl oz)
8bcf0d44-2557-501b-a13e-34829a93177d,Budweiser American Lager Beer (6 x 12 fl oz)
16306362,"Budweiser American Lager Beer 12 Pack, 12 Fl Oz Bottles 12 fl oz"
19252310,"Budweiser American Lager Beer 12 Pack, 16 Fl Oz Cans 16 fl oz"
95172,Budweiser American Lager Beer 12 fl oz
16306362,Budweiser American Lager Beer 12 fl oz
45118,Budweiser American Lager Beer 12 fl oz
34635032,Budweiser American Lager Beer 12 fl oz
10984472,Budweiser American Lager Beer 12 pack 12 fl oz Aluminum Cans 5% ABV
10984456,Budweiser American Lager Beer 12 pack 12 fl oz Glass Bottles 5% ABV
47064314,Budweiser American Lager Beer 12 pack 16 fl oz Aluminum Bottles 5% ABV
76826,Budweiser American Lager Beer 12 pk Bottles 12 oz
45067,"Budweiser American Lager Beer 15 Pack, 16 Fl Oz Aluminum Bottles 16 fl oz"
P1820096539,"Budweiser American Lager Beer 15 Pack, 16 fl oz Aluminum Bottles"
100334,Budweiser American Lager Beer 16 fl oz
10984474,Budweiser American Lager Beer 18 pack 12 fl oz Aluminum Cans 5% ABV
10984470,Budweiser American Lager Beer 20 Pack 12 fl oz Glass Bottles 5% ABV
10984473,Budweiser American Lager Beer 24 pack 12 fl oz Aluminum Cans 5% ABV
15561369,Budweiser American Lager Beer 24 pack 12 fl oz Glass Bottles 5% ABV
76905,Budweiser American Lager Beer 24 pk Cans 12 oz
100314,Budweiser American Lager Beer 25 Fl Oz Can 25 fl oz
27465094,Budweiser American Lager Beer 25 fl oz 1 Aluminum Can 5% ABV
27465091,Budweiser American Lager Beer 3 pack 25 fl oz Aluminum Cans 5% ABV
1729946,Budweiser American Lager Beer 3 pk Cans 25 oz
10984471,Budweiser American Lager Beer 30 pack 12 fl oz Aluminum Cans 5% ABV
15561370,Budweiser American Lager Beer 36 pack 12 fl oz Aluminum Cans 5% ABV
10984460,Budweiser American Lager Beer 6 pack 12 fl oz Glass Bottles 5% ABV
15718149,Budweiser American Lager Beer 6 pack 16 fl oz Aluminum Cans 5% ABV
1729861,Budweiser American Lager Beer Can 25 oz
970461308,Budweiser American Lager Beer in Bottle - 12 Fl. Oz.
189010270,Budweiser American Lager Beer in Bottles - 12 - 12 Fl. Oz.
189010645,Budweiser American Lager Beer in Bottles - 18 - 12 Fl. Oz.
289013302,Budweiser American Lager Beer in Bottles - 20 - 12 Fl. Oz.
189010027,Budweiser American Lager Beer in Bottles - 24 - 12 Fl. Oz.
